<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,10/01/17,00:00,1319.5000000
YNDX,D,11/01/17,00:00,1299.0000000
YNDX,D,12/01/17,00:00,1271.5000000
YNDX,D,13/01/17,00:00,1286.5000000
YNDX,D,16/01/17,00:00,1305.0000000
YNDX,D,17/01/17,00:00,1303.0000000
YNDX,D,18/01/17,00:00,1299.0000000
YNDX,D,19/01/17,00:00,1307.0000000
YNDX,D,20/01/17,00:00,1315.0000000
YNDX,D,23/01/17,00:00,1295.0000000
YNDX,D,24/01/17,00:00,1349.0000000
YNDX,D,25/01/17,00:00,1381.0000000
YNDX,D,26/01/17,00:00,1411.0000000
YNDX,D,27/01/17,00:00,1418.5000000
YNDX,D,30/01/17,00:00,1370.0000000
YNDX,D,31/01/17,00:00,1379.0000000
YNDX,D,01/02/17,00:00,1384.0000000
YNDX,D,02/02/17,00:00,1370.0000000
YNDX,D,03/02/17,00:00,1387.0000000
YNDX,D,06/02/17,00:00,1357.5000000
YNDX,D,07/02/17,00:00,1382.0000000
YNDX,D,08/02/17,00:00,1350.0000000
YNDX,D,09/02/17,00:00,1356.5000000
YNDX,D,10/02/17,00:00,1345.0000000
YNDX,D,13/02/17,00:00,1335.0000000
YNDX,D,14/02/17,00:00,1312.0000000
YNDX,D,15/02/17,00:00,1316.0000000
YNDX,D,16/02/17,00:00,1401.0000000
YNDX,D,17/02/17,00:00,1425.0000000
YNDX,D,20/02/17,00:00,1425.0000000
YNDX,D,21/02/17,00:00,1395.0000000
YNDX,D,22/02/17,00:00,1399.0000000
YNDX,D,24/02/17,00:00,1368.5000000
YNDX,D,27/02/17,00:00,1354.0000000
YNDX,D,28/02/17,00:00,1330.0000000
YNDX,D,01/03/17,00:00,1334.0000000
YNDX,D,02/03/17,00:00,1358.5000000
YNDX,D,03/03/17,00:00,1370.0000000
YNDX,D,06/03/17,00:00,1359.0000000
YNDX,D,07/03/17,00:00,1364.0000000
YNDX,D,09/03/17,00:00,1359.5000000
YNDX,D,10/03/17,00:00,1360.0000000
YNDX,D,13/03/17,00:00,1366.5000000
YNDX,D,14/03/17,00:00,1357.0000000
YNDX,D,15/03/17,00:00,1341.0000000
YNDX,D,16/03/17,00:00,1375.0000000
YNDX,D,17/03/17,00:00,1354.0000000
YNDX,D,20/03/17,00:00,1347.0000000
YNDX,D,21/03/17,00:00,1311.0000000
YNDX,D,22/03/17,00:00,1291.0000000
YNDX,D,23/03/17,00:00,1288.0000000
YNDX,D,24/03/17,00:00,1280.0000000
YNDX,D,27/03/17,00:00,1261.0000000
YNDX,D,28/03/17,00:00,1275.0000000
YNDX,D,29/03/17,00:00,1262.0000000
YNDX,D,30/03/17,00:00,1247.5000000
YNDX,D,31/03/17,00:00,1245.5000000
YNDX,D,03/04/17,00:00,1242.0000000
YNDX,D,04/04/17,00:00,1239.0000000
YNDX,D,05/04/17,00:00,1298.0000000
YNDX,D,06/04/17,00:00,1289.0000000
YNDX,D,07/04/17,00:00,1260.0000000
YNDX,D,10/04/17,00:00,1249.5000000
YNDX,D,11/04/17,00:00,1251.0000000
YNDX,D,12/04/17,00:00,1284.0000000
YNDX,D,13/04/17,00:00,1289.0000000
YNDX,D,14/04/17,00:00,1268.5000000
YNDX,D,17/04/17,00:00,1367.5000000
YNDX,D,18/04/17,00:00,1336.5000000
YNDX,D,19/04/17,00:00,1329.5000000
YNDX,D,20/04/17,00:00,1328.0000000
YNDX,D,21/04/17,00:00,1310.0000000
YNDX,D,24/04/17,00:00,1317.0000000
YNDX,D,25/04/17,00:00,1338.0000000
YNDX,D,26/04/17,00:00,1404.0000000
YNDX,D,27/04/17,00:00,1520.0000000
YNDX,D,28/04/17,00:00,1534.5000000
YNDX,D,02/05/17,00:00,1549.0000000
YNDX,D,03/05/17,00:00,1528.0000000
YNDX,D,04/05/17,00:00,1581.0000000
YNDX,D,05/05/17,00:00,1570.0000000
YNDX,D,10/05/17,00:00,1590.0000000
YNDX,D,11/05/17,00:00,1562.5000000
YNDX,D,12/05/17,00:00,1592.0000000
YNDX,D,15/05/17,00:00,1619.0000000
YNDX,D,16/05/17,00:00,1611.0000000
YNDX,D,17/05/17,00:00,1608.0000000
YNDX,D,18/05/17,00:00,1565.0000000
YNDX,D,19/05/17,00:00,1614.5000000
YNDX,D,22/05/17,00:00,1608.0000000
YNDX,D,23/05/17,00:00,1611.5000000
YNDX,D,24/05/17,00:00,1611.0000000
YNDX,D,25/05/17,00:00,1584.0000000
YNDX,D,26/05/17,00:00,1568.0000000
YNDX,D,29/05/17,00:00,1573.5000000
YNDX,D,30/05/17,00:00,1552.0000000
YNDX,D,31/05/17,00:00,1505.0000000
YNDX,D,01/06/17,00:00,1520.5000000
YNDX,D,02/06/17,00:00,1478.0000000
YNDX,D,05/06/17,00:00,1525.0000000
YNDX,D,06/06/17,00:00,1524.5000000
YNDX,D,07/06/17,00:00,1526.0000000
YNDX,D,08/06/17,00:00,1521.5000000
YNDX,D,09/06/17,00:00,1541.5000000
YNDX,D,13/06/17,00:00,1480.0000000
YNDX,D,14/06/17,00:00,1482.5000000
YNDX,D,15/06/17,00:00,1495.5000000
YNDX,D,16/06/17,00:00,1464.5000000
YNDX,D,19/06/17,00:00,1541.0000000
YNDX,D,20/06/17,00:00,1554.0000000
YNDX,D,21/06/17,00:00,1585.0000000
YNDX,D,22/06/17,00:00,1618.0000000
YNDX,D,23/06/17,00:00,1616.5000000
YNDX,D,26/06/17,00:00,1608.0000000
YNDX,D,27/06/17,00:00,1582.5000000
YNDX,D,28/06/17,00:00,1612.0000000
YNDX,D,29/06/17,00:00,1588.0000000
YNDX,D,30/06/17,00:00,1536.0000000
YNDX,D,03/07/17,00:00,1560.0000000
YNDX,D,04/07/17,00:00,1566.5000000
YNDX,D,05/07/17,00:00,1558.5000000
YNDX,D,06/07/17,00:00,1564.0000000
YNDX,D,07/07/17,00:00,1578.5000000
YNDX,D,10/07/17,00:00,1594.0000000
YNDX,D,11/07/17,00:00,1612.0000000
YNDX,D,12/07/17,00:00,1632.0000000
YNDX,D,13/07/17,00:00,1898.5000000
YNDX,D,14/07/17,00:00,1867.0000000
YNDX,D,17/07/17,00:00,1866.0000000
YNDX,D,18/07/17,00:00,1867.0000000
YNDX,D,19/07/17,00:00,1849.0000000
YNDX,D,20/07/17,00:00,1845.0000000
